,0,1
0,Sequoia Capital China,5.090909090909091
1,Accel,5.090909090909091
2,Andreessen Horowitz,4.545454545454546
3,Insight Partners,3.4545454545454546
4,New Enterprise Associates,2.909090909090909
5,Sequoia Capital,2.5454545454545454
6,Index Ventures,2.5454545454545454
7,Tiger Global Management,2.3636363636363638
8,Lightspeed Venture Partners,2.3636363636363638
9,SoftBank Group,2.181818181818182
